ID,Latitude,Longitude,HillslopeSetting,ImagerySource
LS000171,34.467751,-119.675583,Modified,USGS
LS000172,34.468033,-119.676865,Modified,CALOES
LS000173,34.497181,-119.631645,Unmodified,CAP
LS000174,34.497410,-119.633797,Unmodified,CAP
LS000175,34.499107,-119.628761,Unmodified,CAP
LS000176,34.497917,-119.628159,Unmodified,CAP
LS000177,34.497814,-119.628304,Unmodified,CAP
LS000178,34.498123,-119.628616,Unmodified,CAP
LS000179,34.498123,-119.627243,Unmodified,CAP
LS000180,34.498341,-119.627563,Unmodified,CAP
LS000181,34.497276,-119.624161,Unmodified,CAP
LS000182,34.496243,-119.624779,Unmodified,CAP
LS000183,34.496552,-119.622932,Unmodified,CAP
LS000184,34.496643,-119.623116,Unmodified,CAP
LS000185,34.496696,-119.623222,Unmodified,CAP
LS000186,34.496635,-119.623390,Unmodified,CAP
LS000187,34.496338,-119.623497,Unmodified,CAP
LS000188,34.495979,-119.623634,Unmodified,CAP
LS000189,34.496426,-119.622467,Unmodified,CAP
LS000190,34.496407,-119.622246,Unmodified,CAP
LS000191,34.495674,-119.621826,Unmodified,CAP
LS000192,34.495899,-119.621696,Unmodified,CAP
LS000193,34.495770,-119.620934,Unmodified,CAP
LS000194,34.495537,-119.620766,Unmodified,CAP
LS000195,34.495705,-119.620773,Unmodified,CAP
LS000196,34.495644,-119.620399,Unmodified,CAP
LS000197,34.495956,-119.620758,Unmodified,CAP
LS000198,34.496056,-119.620560,Unmodified,CAP
LS000199,34.496044,-119.620422,Unmodified,CAP
LS000200,34.496052,-119.620232,Unmodified,CAP
LS000201,34.495831,-119.620331,Unmodified,CAP
LS000202,34.495831,-119.620102,Unmodified,CAP
LS000203,34.495556,-119.619781,Unmodified,CAP
LS000204,34.495468,-119.619713,Unmodified,CAP
LS000205,34.495850,-119.619499,Unmodified,CAP
LS000206,34.498867,-119.622772,Unmodified,CAP
LS000207,34.498844,-119.622696,Unmodified,CAP
LS000208,34.499836,-119.623856,Unmodified,CAP
LS000209,34.499050,-119.621819,Unmodified,CAP
LS000210,34.498665,-119.621758,Unmodified,CAP
LS000211,34.490543,-119.615967,Unmodified,CAP
LS000212,34.484215,-119.631432,Modified,USGS
LS000213,34.482227,-119.624069,Unmodified,USGS
