slope,curvature,twi,lithology,landcover,fault_distance,rainfall,fire_history,label,x,y
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.13215292990207672,0.0,0,228106.51574530193,3776886.8558395365
0.3201301693916321,0.5319126844406128,0.10981785506010056,0.75,0.5,0.0,0.5111455917358398,0.0,0,243067.03323421653,3852719.4789133593
0.054022565484046936,0.5288474559783936,0.1653895229101181,0.75,0.5,0.25,0.23560641705989838,0.0,0,194385.34931975385,3856879.62281402
0.27783283591270447,0.530776858329773,0.11554323136806488,0.25,0.5,0.5,0.46741732954978943,0.0,0,229706.57109170992,3842919.1399166104
0.02011968195438385,0.5277836918830872,0.19288264214992523,0.75,0.5,0.0,0.3259029984474182,0.0,0,228006.51228615144,3815138.178964602
0.4895949959754944,0.5312931537628174,0.09127123653888702,0.75,0.0,0.0,0.6459411382675171,0.0,0,250647.29543782433,3837458.9510469935
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.14691893756389618,0.0,0,233406.69908027837,3775066.792882997
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.20040768384933472,0.0,0,166704.39182689585,3864549.888130863
0.006936333142220974,0.5279983878135681,0.2109135091304779,0.75,0.5,0.0,0.0072111752815544605,0.0,0,252407.3563188731,3872350.1579446024
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.1388721466064453,0.0,0,229446.56209791862,3764336.4217161485
0.007486145477741957,0.5278754234313965,0.21583019196987152,0.75,0.5,0.25,0.31307393312454224,0.0,0,214596.0484140696,3832298.7725548274
0.1851392388343811,0.5392349362373352,0.13307741284370422,0.75,0.5,0.0,0.34905800223350525,0.0,0,220196.24212649753,3841509.0911425883
0.009741523303091526,0.5283032059669495,0.20762208104133606,0.75,0.5,0.25,0.29728230834007263,0.0,0,214596.0484140696,3842739.1336901397
0.08422287553548813,0.529490053653717,0.13990508019924164,0.75,0.5,0.0,0.2919256091117859,0.0,0,263517.7406304935,3850939.4173404803
0.17194077372550964,0.5239038467407227,0.1368914246559143,0.75,0.5,0.0,0.2702992856502533,0.0,0,208855.84985883097,3837398.948971503
0.39862287044525146,0.5278780460357666,0.11244349181652069,0.75,0.5,0.25,0.2976086437702179,0.75,0,171114.54437543283,3833758.823058425
0.4387831687927246,0.5102565288543701,0.10807093977928162,0.75,0.5,1.0,0.4710361361503601,1.0,0,274838.13220632996,3812668.093523585
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.18195697665214539,0.0,0,165804.36069454136,3827078.5919871717
0.39928150177001953,0.5332077145576477,0.09495669603347778,0.75,0.0,0.0,0.6921558380126953,0.0,0,269257.93918573216,3824218.4930554675
0.5362662672996521,0.5296643376350403,0.1010730117559433,0.75,0.5,0.0,0.48135092854499817,1.0,0,261757.67974944474,3815668.1972980998
0.013392779044806957,0.5277356505393982,0.1943008005619049,0.75,0.5,0.0,0.003698816057294607,0.0,0,251297.31792230255,3871680.1347682937
0.09885953366756439,0.5285129547119141,0.15266193449497223,0.75,0.5,1.0,0.35069993138313293,0.0,0,240506.94467996378,3817058.2453802917
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.14198704063892365,0.0,0,204475.69834803915,3759506.2546391794
0.24329715967178345,0.5279943346977234,0.12760990858078003,0.25,0.5,0.0,0.1585109680891037,0.0,0,233036.68628142154,3773236.729580543
0.2344314008951187,0.5112065076828003,0.10304272174835205,0.75,0.5,0.5,0.53023362159729,0.0,0,272928.06613655546,3839959.037525756
0.21742412447929382,0.5304638743400574,0.13119351863861084,0.75,0.5,0.0,0.26525697112083435,0.0,0,205745.74227925047,3837028.936172646
0.4926401972770691,0.5232803821563721,0.09668875485658646,0.75,0.5,0.0,0.39076611399650574,0.0,0,234186.72606165227,3863269.8438537368
0.3865949511528015,0.5346142053604126,0.10868038237094879,0.75,0.5,0.0,0.31848591566085815,0.25,0,214966.06121292643,3879720.412883994
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.25,0.29934245347976685,0.0,0,262417.70257983805,3805917.860030926
0.30180615186691284,0.523821234703064,0.09838730096817017,0.75,0.5,0.0,0.2429380863904953,0.0,0,259727.60952868962,3855239.566083952
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.1219891607761383,0.0,0,206465.76718513406,3752996.029448482
0.0012633800506591797,0.5279738306999207,0.2619921565055847,0.5,0.5,0.0,0.1260141134262085,0.0,0,192835.2957029211,3776776.8520344705
0.05871312692761421,0.5260926485061646,0.16248293220996857,0.75,0.5,0.75,0.22781014442443848,0.0,0,188425.14315438413,3858699.685770559
0.007527611684054136,0.528354287147522,0.21728971600532532,0.75,0.5,0.75,0.3054862320423126,0.0,0,247487.18612866857,3812298.080724728
0.10219958424568176,0.5326351523399353,0.13434043526649475,0.75,0.5,1.0,0.613775372505188,0.0,0,270277.97446906724,3839459.020230003
0.018903011456131935,0.5279427170753479,0.19257771968841553,0.75,0.5,0.75,0.23738183081150055,0.0,0,198585.49460407477,3849289.3602644973
0.3388400077819824,0.5122432112693787,0.1066739559173584,0.75,0.5,0.0,0.3514246940612793,0.25,0,224156.37910885728,3871510.128887738
0.050689104944467545,0.5327368378639221,0.16212570667266846,0.75,0.5,1.0,0.5918828248977661,1.0,0,268147.9007891616,3819088.3156010467
0.3574535548686981,0.5145972967147827,0.11656304448843002,0.75,0.5,0.0,0.14290966093540192,0.0,0,217836.16049054576,3760376.284733789
0.10473828762769699,0.5276406407356262,0.1485622525215149,0.75,0.5,0.0,0.2520337998867035,0.0,0,197825.468314531,3839789.0316451997
0.29314449429512024,0.5270602703094482,0.11537020653486252,0.75,0.5,0.0,0.03679889440536499,0.0,0,246497.15188307865,3871280.120931692
